error,uuid,title,normalized_job_title,parent_uuid
,e7b3e1c6a32c7247cd4857e4c3574165,Data Processing Systems Analyst,data processing systems analyst,0148f61d4227497728ce33490843d056
,36ac256201657eeaa67ee95aaae3cd54,Data Warehousing Specialist,data warehousing specialist,72ac7ec4ef0212a3aa54ed92abac8a92
,bc6dcc49557388a9f53d6e642e73d7a2,Business Database Analyst,business database analyst,9656fa2dc39e9643c00a45858e0117d0
,00bff17fca67555d8d86e8ead86dcd70,Database Analyst,database analyst,b90ca4df5690002377a7b0f1f3d40781
,b42566382f2d3deeca56d3667004fc9e,Data Center Manager,data center manager,b90ca4df5690002377a7b0f1f3d40781
,7932d4705d002b47789c11edfaed685e,Data Control Assistant,data control assistant,1b7a3048ca875e752dbe1ec6368e2e9a
,aee597cd78f235c9db9d3ca987c7c846,Database Development Project Manager,database development project manager,c9b22af74071153203bd588bd45340d9
,1c37a6e2bf157c0eff4665c57c52602d,SCADA Technician (Supervisory Control and Data Acquisition Technician),scada technician supervisory control and data acquisition technician,5e618fbfb1206c29ad9b4c3e1d169ba5
,46b09f5f86f1ed46a8cb8e14d41418c7,Survey Data Technician,survey data technician,325e2251e20170928426473156bd3c48
,a2a9fbe67b4aa2b551ba0f3adac90a99,"Engineer, System Electronic Data Processing (Engineer, System EDP)",engineer system electronic data processing engineer system edp,ad7f545d458070129f3ced2d13467813
,77d124811ae6887bd4ff42b0e2b49116,Data Warehouse Architect,data warehouse architect,596226d5f9ef63de41a852826d483d19
,f05d2014d4a9adaab50fa1e0ca6f6c8c,"Naval Tactical Data System--Combat Information Center Watch Officer, Carrier Controlled Approach Controller",naval tactical data systemcombat information center watch officer carrier controlled approach controller,e7fdd7f57854ea7d06958a8b65ce0148
,ac2588d5d7676a49bdcd038e4a0a0ec5,Data Compiler,data compiler,325e2251e20170928426473156bd3c48
,2173ff3afd8d28192f7cf119af201940,Data Modeling Specialist,data modeling specialist,b90ca4df5690002377a7b0f1f3d40781
,f5bc91b67dc30ad204158092116c4ed2,Clinical Data Manager,clinical data manager,0b9dd32a367f4562ec77b993053d1910
,433df1b945d32f17d9e61cf60a9bd06e,Data Abstractor,data abstractor,5664385a36b9a0aa6f63c498e86b4654
,1295a187473fd2f53427769fc7a4c02e,Clinical Data Management Associate Director,clinical data management associate director,0b9dd32a367f4562ec77b993053d1910
,004431b0c1ce29ff6145307fa23f3f98,Data Reduction Technician,data reduction technician,bae768f2464d4c86f05659ce341b1628
,8fd068c8d9be73abfa678856177b6c40,Data Operations Director,data operations director,bb4e5066e69e4228172b4850d2a920f4
,c34f03aa0a9c6edbe8ec50f4fa3687a8,Data Center Operator,data center operator,16a750537ecaff343d0e1d9ab9f5f575
,7aecc34a90868aac810bf3693b11534e,Clinical Trials Data Coordinator,clinical trials data coordinator,0b9dd32a367f4562ec77b993053d1910
,086f0063610283d1c23c44bca4ef92c0,Database Administrator (DBA),database administrator dba,b90ca4df5690002377a7b0f1f3d40781
,16b49a63ac3fcb90356c30187110ed94,Data Processing Auxiliary Equipment Operator,data processing auxiliary equipment operator,16a750537ecaff343d0e1d9ab9f5f575
,437e4414c78611a270a5cedb4b4c0eed,Data Collection Technician,data collection technician,6ef517fbbd53b14636c7fd4ce3f4621a
,679fb7003e0aedc14891fcd15dd846c5,Database Specialist,database specialist,b90ca4df5690002377a7b0f1f3d40781
,7a37ddb38441873334fd8ff07c17ad22,Data Acquisition Technician,data acquisition technician,351a52f8a687142e32acd0b6c331e61b
,58eaf730050d2e23c7361fbb782e30a2,Data Processing Mechanic,data processing mechanic,9bc8ed0e7fbe7a61815cdced4cb639c7
,d0abc47e83e7d85921e113f85175547a,Data Sciences Director,data sciences director,72d8102a88c284fb83d4247877e1504c
,73d251075a710326ae436d9819246377,Databases Software Consultant,databases software consultant,b90ca4df5690002377a7b0f1f3d40781
,5e2bfe1fb8451158ff488c673535980c,Data Entry Machine Operator,data entry machine operator,bf88358c56bb6cbe7eabec38ae333d19
,ac9f868b5c3e7cb3f31bcead5dadeb71,Micro Computer Data Processor,micro computer data processor,bf88358c56bb6cbe7eabec38ae333d19
,f670246beda8187fbe875401e7bc4ba6,Data Processing Services Sales Representative,data processing services sales representative,96fe8c70b3c2f9ca197722fe88c5d6ca
,0044971fda4a261b6049a63817913e95,Data Processing Equipment Repairer,data processing equipment repairer,9bc8ed0e7fbe7a61815cdced4cb639c7
,b36bc5f02fd641a126df999bcefa2777,Data Technician,data technician,0581dd6e7d2b00f3d449837e60ab76a0
,067c85859a63aa6f1c8c936904124dd6,Naval Tactical Data System--Combat Information Center Officer,naval tactical data systemcombat information center officer,e7fdd7f57854ea7d06958a8b65ce0148
,491d82be40d8395e347f9584124bccdd,Flight Test Data Acquisition Technician,flight test data acquisition technician,351a52f8a687142e32acd0b6c331e61b
,7028f15ad274cb4d9505101b9c1306b1,Clinical Data Management Manager (CDM Manager),clinical data management manager cdm manager,0b9dd32a367f4562ec77b993053d1910
,fd69391dc29c83d5ad744daa57de0175,Data Transcriber,data transcriber,fcfdb76b27a6e4c34abd128cbd9f61ba
,3def30a9bc4356164176ba909f40bab8,Data Input Clerk,data input clerk,bf88358c56bb6cbe7eabec38ae333d19
,132aa9e82c5d4c8a395342d0a6e22c5c,Electronic Data Interchange System Developer (EDI System Developer),electronic data interchange system developer edi system developer,6245e2b254db226eec7c31ca738971c3
,07b2ace822aff5d35dcf5ea264ef3b59,Database Administration Project Manager,database administration project manager,c9b22af74071153203bd588bd45340d9
,f8984e50675cf61e5ac1ea8f661e0ab2,Field Traffic Data Technician,field traffic data technician,6ef517fbbd53b14636c7fd4ce3f4621a
,d329d187dafb7546061ec7fbf137a2b4,Clinical Data Abstractor,clinical data abstractor,0b9dd32a367f4562ec77b993053d1910
,d63e35f948115e0c328a49db7bdb6e59,Data Control Clerk Supervisor,data control clerk supervisor,3ffe9bc56a3fd00b02fbdc71c03976f9
,bf7f43295d45cdced048c8126f977b6b,Datastage Developer,datastage developer,72ac7ec4ef0212a3aa54ed92abac8a92
,6bf4290b983d58ce153af610008846c9,Data Entry Technician,data entry technician,bf88358c56bb6cbe7eabec38ae333d19
,f1fc61f279e3ad14863e582ca6fdc473,Clinical Data Analyst,clinical data analyst,0b9dd32a367f4562ec77b993053d1910
,31bf3181813e21ffdfd76b5881fab066,Data Entry Supervisor,data entry supervisor,3ffe9bc56a3fd00b02fbdc71c03976f9
,04b0eaf624b2deb45ccd62cf6ec7c7bc,Data Conversion Operator,data conversion operator,78e0562032df97cc82fcc48388cdf34b
,2616d64becb4f2c478dd42f501bbfbff,Data Processing Control Clerk,data processing control clerk,9b44dbc6767274d8b3a820e133803d00
,776bf47111206d31ccf835650e1054cc,Data Typist,data typist,bf88358c56bb6cbe7eabec38ae333d19
